Player Name,Team,Event,Price
Jenna Timmons,Arizona State (Big 12),VT,1000.0
Jennifer McMillan,Oregon State (Pac-12),VT,1000.0
Jersie Woolsey,Auburn (SEC),VT,1000.0
Jessa Conedera,Missouri (SEC),VT,1000.0
Jessica Naranjo,North Carolina (ACC),VT,1000.0
Jessica Reith,Washington (Big Ten),VT,1000.0
Jillian Silvers,Arizona (Big 12),VT,1000.0
Jojo Warga,Ohio State (Big Ten),VT,1000.0
Jordan Kane,California (ACC),VT,1000.0
Jordyn Ewing,Pittsburgh (ACC),VT,1000.0
Jordyn Lyden,Minnesota (Big Ten),VT,1000.0
Julianna Weeks,Arkansas (SEC),VT,1000.0
Kaelyn Skeel,West Virginia (Big 12),VT,1000.0
Kaetlyn Tenesch,BYU (Big 12),VT,1000.0
Kaia Tanskanen,Missouri (SEC),VT,1000.0
Kaila Lawrence,Kentucky (SEC),VT,1000.0
Kailee Adomaites,NC State (ACC),VT,1000.0
Kaitlyn Ewald,Arkansas (SEC),VT,1000.0
Kalyxta Gamiao,Arkansas (SEC),VT,1000.0
Kara Eaker,Georgia (SEC),VT,1000.0
Karleigh Reutzel,Ohio State (Big Ten),VT,1000.0
Kate Parks,Ohio State (Big Ten),VT,1000.0
Katie Harper,NC State (ACC),VT,1000.0
Katie Sawyer,Michigan State (Big Ten),VT,1000.0
Kayla Lee,Arizona State (Big 12),VT,1000.0
Kaylee Bluffstone,Florida (SEC),VT,1000.0
Kayli Boozer,Michigan (Big Ten),VT,1000.0
Keeley Smith,Rutgers (Big Ten),VT,1000.0
Kelsey Lee,Georgia (SEC),VT,1000.0
Kendall Abney,Michigan State (Big Ten),VT,1000.0
Kendall Landry,Minnesota (Big Ten),VT,1000.0
Kendall McGuire,Southern Utah (WAC),VT,1000.0
Kendall Whitman,George Washington (Atlantic 10 Conference),VT,1000.0
Kendra Chang,Stanford (ACC),VT,1000.0
Kerrington Baham,Ohio State (Big Ten),VT,1000.0
Kielyn McCright,Clemson (ACC),VT,1000.0
Kiley Rorich,Denver (Big 12),VT,1000.0
Kira Bolden,Washington (Big Ten),VT,1000.0
Konnor McClain,LSU (SEC),VT,1000.0
Kristin Lin,Washington (Big Ten),VT,1000.0
Kyla Petrocci,NC State (ACC),VT,1000.0
Kylie Coen,LSU (SEC),VT,1000.0
Kylie Minard,Missouri (SEC),VT,1000.0
Lauren Brendlinger,Maryland (Big Ten),VT,1000.0
Lauren Hollifield,Nebraska (Big Ten),VT,1000.0
Lauren Hsu,Michigan State (Big Ten),VT,1000.0
Lauren Letzsch,Oregon State (Pac-12),VT,1000.0
Lauren Thomas,Iowa State (Big 12),VT,1000.0
Layla Hammer,Maryland (Big Ten),VT,1000.0
Leah Gonsiorowski,Minnesota (Big Ten),VT,1000.0
Leah Miller,LSU (SEC),VT,1000.0
Levi Jung-Ruivivar,Stanford (ACC),VT,1000.0
Lexi Zeiss,LSU (SEC),VT,1000.0
Lilia Purler,Arizona State (Big 12),VT,1000.0
Lilly Lippeatt,Clemson (ACC),VT,1000.0
Lilly Timmerman,Minnesota (Big Ten),VT,1000.0
Lily Kurrack,Clemson (ACC),VT,1000.0
Lindsay Bacheler,Maryland (Big Ten),VT,1000.0
Lisa Szeibert,Missouri (SEC),VT,1000.0
Logan Buckmon,Maryland (Big Ten),VT,1000.0
Lola Montevago,George Washington (Atlantic 10 Conference),VT,1000.0
Lori Brubach,Florida (SEC),VT,1000.0
Macy Jennings,NC State (ACC),VT,1000.0
Maddie Jones,Arkansas (SEC),VT,1000.0
Maddie Komorosk,Maryland (Big Ten),VT,1000.0
Maisyn Rader,Ohio State (Big Ten),VT,1000.0
Makayla Green,Illinois (Big Ten),VT,1000.0
Mara Titarsolej,Missouri (SEC),VT,1000.0
Maria Ferguson,Southern Utah (WAC),VT,1000.0
Marisa Fisher,Minnesota (Big Ten),VT,1000.0
Marissa Neal,Auburn (SEC),VT,1000.0
Marly Esteves,Illinois (Big Ten),VT,1000.0
Mary Green,Ohio State (Big Ten),VT,1000.0
Mati Waligora,Arkansas (SEC),VT,1000.0
McClaine Daigle,Arizona State (Big 12),VT,1000.0
Megan Sapp,Illinois (Big Ten),VT,1000.0
Mia Erdoes,UCLA (Big Ten),VT,1000.0
Mia Heather,Oregon State (Pac-12),VT,1000.0
Mia Hebinck,Denver (Big 12),VT,1000.0
Mika Webster-Longin,UCLA (Big Ten),VT,1000.0
Miki Aderinto,California (ACC),VT,1000.0
Momoko Iwai,Denver (Big 12),VT,1000.0
Morgan Walsh,Minnesota (Big Ten),VT,1000.0
