Date,Opponent,VT,UB,BB,FX,AA,HomeAway,Team,GymnastID,Name
"Sun, Jan-18-2026",Auburn,9.8750,9.8750,,9.7250,,H,Arkansas,31261,Leah Smith
"Sat, Jan-10-2026",Minnesota,,9.7750,,,,A,Arkansas,31822,Cally Swaney
"Sat, Jan-10-2026",Minnesota,,,9.8500,9.8000,,A,Arkansas,31258,Cami Weaver
"Sun, Jan-18-2026",Auburn,,,9.2750,,,H,Arkansas,31258,Cami Weaver
"Sat, Jan-10-2026",Minnesota,9.9000,,,,,A,Arkansas,31823,Lauren Williams
"Sun, Jan-18-2026",Auburn,9.9750,,,9.8500,,H,Arkansas,31823,Lauren Williams
"Fri, Jan-09-2026",North Carolina State,,,9.8500,9.8500,,H,Auburn,32949,Olivia Ahern
"Sun, Jan-18-2026",Arkansas,,,9.7750,9.8000,,A,Auburn,32949,Olivia Ahern
"Fri, Jan-09-2026",North Carolina State,,9.5750,,9.8500,,H,Auburn,32329,Bryn Bartman
"Sun, Jan-18-2026",Arkansas,,,,9.7500,,A,Auburn,32329,Bryn Bartman
"Fri, Jan-09-2026",North Carolina State,9.9250,,,9.9500,,H,Auburn,32950,Sophia Bell
"Sun, Jan-18-2026",Arkansas,9.9000,,,9.9250,,A,Auburn,32950,Sophia Bell
"Fri, Jan-09-2026",North Carolina State,,9.8000,,,,H,Auburn,33441,Charlotte Booth
"Sun, Jan-18-2026",Arkansas,,9.5750,,,,A,Auburn,33441,Charlotte Booth
"Sun, Jan-18-2026",Arkansas,,9.6000,,,,A,Auburn,32330,Emma Grace Boyd
"Fri, Jan-09-2026",North Carolina State,9.6250,9.8000,9.8250,9.9500,39.2000,H,Auburn,31816,Olivia Greaves
"Sun, Jan-18-2026",Arkansas,9.7250,9.6500,9.8000,9.7000,38.8750,A,Auburn,31816,Olivia Greaves
"Fri, Jan-09-2026",North Carolina State,,,9.8250,,,H,Auburn,31817,Hannah Hagle
"Sun, Jan-18-2026",Arkansas,,,9.6750,,,A,Auburn,31817,Hannah Hagle
"Fri, Jan-09-2026",North Carolina State,9.8750,9.7750,9.8250,9.9000,39.3750,H,Auburn,32333,Julianne Huff
"Sun, Jan-18-2026",Arkansas,9.7000,9.8000,9.7750,9.8750,39.1500,A,Auburn,32333,Julianne Huff
"Fri, Jan-09-2026",North Carolina State,,9.7500,,9.6250,,H,Auburn,32576,Alex Irvine
"Sun, Jan-18-2026",Arkansas,,9.9000,9.9000,,,A,Auburn,32576,Alex Irvine
"Fri, Jan-09-2026",North Carolina State,9.8500,,,,,H,Auburn,33443,Mia Leverton
"Sun, Jan-18-2026",Arkansas,9.8250,,,,,A,Auburn,33443,Mia Leverton
"Fri, Jan-09-2026",North Carolina State,9.8500,9.8750,9.8500,,,H,Auburn,32952,Marissa Neal
"Sun, Jan-18-2026",Arkansas,9.7500,9.8000,9.8500,9.8500,39.2500,A,Auburn,32952,Marissa Neal
"Fri, Jan-09-2026",North Carolina State,,,9.1500,,,H,Auburn,32096,Emma Wehry
"Fri, Jan-09-2026",North Carolina State,9.9750,,,,,H,Auburn,32335,Paige Zancan
"Sun, Jan-18-2026",Arkansas,9.8250,,,,,A,Auburn,32335,Paige Zancan
"Sun, Jan-11-2026","Rutgers, Western Michigan",9.6000,9.7500,,,,H,Ball State,32243,Mary Rose Bellan
"Sun, Jan-18-2026",Bowling Green,9.6500,9.7000,,,,H,Ball State,32243,Mary Rose Bellan
"Sun, Jan-11-2026","Rutgers, Western Michigan",,,,9.7750,,H,Ball State,32953,Viviana Campuzano
"Sun, Jan-18-2026",Bowling Green,,,,9.5000,,H,Ball State,32953,Viviana Campuzano
"Sun, Jan-11-2026","Rutgers, Western Michigan",,,9.6000,,,H,Ball State,32662,Lindsay Fuller
"Sun, Jan-18-2026",Bowling Green,,,9.8000,,,H,Ball State,32662,Lindsay Fuller
"Sun, Jan-11-2026","Rutgers, Western Michigan",9.7000,,,9.5750,,H,Ball State,32663,Lindsay Girard
"Sun, Jan-18-2026",Bowling Green,9.7250,,,9.8250,,H,Ball State,32663,Lindsay Girard
"Sun, Jan-18-2026",Bowling Green,,,,9.7250,,H,Ball State,32954,Avery Kantor
"Sun, Jan-11-2026","Rutgers, Western Michigan",,9.6500,9.8500,,,H,Ball State,32664,Delaney McMahon
"Sun, Jan-18-2026",Bowling Green,,9.5750,9.8000,,,H,Ball State,32664,Delaney McMahon
"Sun, Jan-11-2026","Rutgers, Western Michigan",9.6750,,,,,H,Ball State,32956,Karli Mercer
"Sun, Jan-18-2026",Bowling Green,9.8250,,,,,H,Ball State,32956,Karli Mercer
"Sun, Jan-11-2026","Rutgers, Western Michigan",,9.8250,9.9000,,,H,Ball State,31827,Zoe Middleton
"Sun, Jan-18-2026",Bowling Green,,9.7500,9.7000,,,H,Ball State,31827,Zoe Middleton
"Sun, Jan-11-2026","Rutgers, Western Michigan",,8.6500,9.6250,9.8750,,H,Ball State,32665,Ava Molina
"Sun, Jan-18-2026",Bowling Green,,9.6500,9.6750,9.9000,,H,Ball State,32665,Ava Molina
"Sun, Jan-11-2026","Rutgers, Western Michigan",9.7500,8.9000,,,,H,Ball State,32957,Jordanna Phillis
"Sun, Jan-18-2026",Bowling Green,9.7750,9.6750,,,,H,Ball State,32957,Jordanna Phillis
"Sun, Jan-11-2026","Rutgers, Western Michigan",,,,9.5750,,H,Ball State,31828,Alauna Simms
"Sun, Jan-11-2026","Rutgers, Western Michigan",9.8500,,9.1250,9.7500,,H,Ball State,33448,Carley Stalder
"Sun, Jan-18-2026",Bowling Green,9.7750,,9.6750,9.8000,,H,Ball State,33448,Carley Stalder
"Sun, Jan-11-2026","Rutgers, Western Michigan",9.7250,,,9.8000,,H,Ball State,32959,Grace Suchecki
"Sun, Jan-18-2026",Bowling Green,9.6750,,,9.8000,,H,Ball State,32959,Grace Suchecki
"Sun, Jan-11-2026","Rutgers, Western Michigan",,9.9000,9.8000,,,H,Ball State,32666,Ashley Szymanski
"Sun, Jan-18-2026",Bowling Green,,9.7750,9.8750,,,H,Ball State,32666,Ashley Szymanski
"Fri, Jan-09-2026",Southern Utah,9.7750,9.6750,,,,A,Boise State,32960,Noelle Ball
"Fri, Jan-16-2026",BYU,9.7000,9.1000,,,,A,Boise State,32960,Noelle Ball
"Fri, Jan-09-2026",Southern Utah,,9.6750,,,,A,Boise State,32336,Carly Buell
"Fri, Jan-16-2026",BYU,,9.7000,,,,A,Boise State,32336,Carly Buell
"Fri, Jan-09-2026",Southern Utah,9.7000,,,,,A,Boise State,33451,Lexi Caffall
"Fri, Jan-16-2026",BYU,9.5750,,,,,A,Boise State,33451,Lexi Caffall
"Fri, Jan-09-2026",Southern Utah,,,,9.4750,,A,Boise State,31833,Anna Ferguson
"Fri, Jan-16-2026",BYU,,,,9.8000,,A,Boise State,31833,Anna Ferguson
"Fri, Jan-09-2026",Southern Utah,,9.8000,,,,A,Boise State,31834,Kylee Hamby
"Fri, Jan-16-2026",BYU,,9.8500,,,,A,Boise State,31834,Kylee Hamby
"Fri, Jan-09-2026",Southern Utah,9.7250,,,9.1000,,A,Boise State,32961,Bridget Kemp
"Fri, Jan-16-2026",BYU,9.7750,,,9.7750,,A,Boise State,32961,Bridget Kemp
"Fri, Jan-09-2026",Southern Utah,9.6500,,9.7500,,,A,Boise State,31835,Sydney Kho
"Fri, Jan-16-2026",BYU,9.6500,,9.7250,,,A,Boise State,31835,Sydney Kho
"Fri, Jan-09-2026",Southern Utah,9.8250,,9.7750,,,A,Boise State,32337,Julia Krzywanski
"Fri, Jan-16-2026",BYU,9.7750,,9.1750,,,A,Boise State,32337,Julia Krzywanski
"Fri, Jan-09-2026",Southern Utah,,,9.7500,,,A,Boise State,31836,Sydney Leitch
"Fri, Jan-16-2026",BYU,,,9.6000,,,A,Boise State,31836,Sydney Leitch
"Fri, Jan-09-2026",Southern Utah,,,9.6000,9.6750,,A,Boise State,31837,Brantley Lucas
"Fri, Jan-16-2026",BYU,,,9.6750,8.7500,,A,Boise State,31837,Brantley Lucas
"Fri, Jan-09-2026",Southern Utah,9.7500,9.4000,9.6500,9.7500,38.5500,A,Boise State,33454,Miraya Nero
"Fri, Jan-16-2026",BYU,9.7750,9.7750,9.8250,9.7000,39.0750,A,Boise State,33454,Miraya Nero
"Fri, Jan-09-2026",Southern Utah,,,,9.8000,,A,Boise State,31275,Blake Pascal
"Fri, Jan-16-2026",BYU,,,,9.8500,,A,Boise State,31275,Blake Pascal
"Fri, Jan-09-2026",Southern Utah,,,,9.5500,,A,Boise State,32962,Delaney Reeves
"Fri, Jan-16-2026",BYU,,,,9.8500,,A,Boise State,32962,Delaney Reeves
"Fri, Jan-09-2026",Southern Utah,,9.7250,9.7750,,,A,Boise State,32963,Kristina Shchennikova
"Fri, Jan-16-2026",BYU,,9.7500,9.7250,,,A,Boise State,32963,Kristina Shchennikova
"Fri, Jan-09-2026",Southern Utah,,9.7000,,,,A,Boise State,32340,Mahleea Werline
"Fri, Jan-16-2026",BYU,,9.7500,,,,A,Boise State,32340,Mahleea Werline
"Sun, Jan-11-2026",Eastern Michigan,8.8500,,,,,H,Bowling Green,31840,Charniya Brown
