GymnastID,HomeAway,Week,Date,MeetID,Event,Score
33009,A,2,2026-01-10,2026-01-10_Iowa,AA,
33009,H,3,2026-01-16,2026-01-16_Georgia,AA,
32372,A,2,2026-01-10,2026-01-10_Iowa,AA,
32372,H,3,2026-01-16,2026-01-16_Georgia,AA,
32373,A,2,2026-01-10,2026-01-10_Iowa,AA,
32373,H,3,2026-01-16,2026-01-16_Georgia,AA,
33861,A,2,2026-01-10,2026-01-10_Iowa,AA,
33861,H,3,2026-01-16,2026-01-16_Georgia,AA,
33522,A,2,2026-01-10,2026-01-10_Iowa,AA,
33522,H,3,2026-01-16,2026-01-16_Georgia,AA,
32885,A,1,2026-01-03,,AA,
32885,A,2,2026-01-11,2026-01-11_Arizona State,AA,
32885,A,3,2026-01-16,,AA,
32147,A,1,2026-01-03,,AA,
32147,A,2,2026-01-11,2026-01-11_Arizona State,AA,
32147,A,3,2026-01-16,,AA,
33832,A,1,2026-01-03,,AA,
33832,A,2,2026-01-11,2026-01-11_Arizona State,AA,
33832,A,3,2026-01-16,,AA,
33311,A,1,2026-01-03,,AA,
33311,A,3,2026-01-16,,AA,
32886,A,1,2026-01-03,,AA,
32886,A,2,2026-01-11,2026-01-11_Arizona State,AA,
32886,A,3,2026-01-16,,AA,
32148,A,1,2026-01-03,,AA,
32148,A,2,2026-01-11,2026-01-11_Arizona State,AA,
32148,A,3,2026-01-16,,AA,
32149,A,1,2026-01-03,,AA,
32149,A,2,2026-01-11,2026-01-11_Arizona State,AA,
32149,A,3,2026-01-16,,AA,
33833,A,1,2026-01-03,,AA,
33833,A,2,2026-01-11,2026-01-11_Arizona State,AA,
33833,A,3,2026-01-16,,AA,
33834,A,2,2026-01-11,2026-01-11_Arizona State,AA,
32155,A,1,2026-01-03,,AA,37.225
32155,A,2,2026-01-11,2026-01-11_Arizona State,AA,38.025
32155,A,3,2026-01-16,,AA,38.125
32156,A,1,2026-01-03,,AA,
32156,A,2,2026-01-11,2026-01-11_Arizona State,AA,
32156,A,3,2026-01-16,,AA,
32751,A,3,2026-01-16,,AA,
33838,A,1,2026-01-03,,AA,
33838,A,2,2026-01-11,2026-01-11_Arizona State,AA,
33838,A,3,2026-01-16,,AA,
33839,A,1,2026-01-03,,AA,
33839,A,2,2026-01-11,2026-01-11_Arizona State,AA,
33839,A,3,2026-01-16,,AA,
33792,A,2,2026-01-09,,AA,
33792,A,3,2026-01-16,,AA,
33793,A,2,2026-01-09,,AA,
33793,A,3,2026-01-16,,AA,
33272,A,2,2026-01-09,,AA,
33272,A,3,2026-01-16,,AA,
33273,A,2,2026-01-09,,AA,
33273,A,3,2026-01-16,,AA,
